SiO2,TiO2,Al2O3,Cr2O3,Fetot,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,ZnO,Li2O,Fe3+/Fetot
51.14,1,2.61,0.06,8.04,0.24,14.24,19.37,0.4,0.06,,,,,0.145
50.93,0.35,6.59,0.94,3.07,0.05,15.55,18.86,1.45,0.01,,,,,0.22
51.61,0.35,5.79,1,3.02,0.04,15.71,20.54,1.52,0.01,,,,,0.21
50.06,,8.21,,7.91,0.06,15.34,15.71,1.97,0.01,,,,,0.25
46.31,2.59,6.94,0.08,8.79,0.2,10.86,22.55,0.88,0.01,,,,,0.427
47.78,2.37,5.77,0.02,7.75,0.15,12.14,22.57,0.79,0.03,,,,,0.42
46.88,2.52,6.44,0.01,8.8,0.2,11.2,22.44,0.84,0.01,,,,,0.512
47.13,2.48,6.67,0.08,7.55,0.15,12.36,22.49,0.66,0,,,,,0.414
45.84,2.77,7.8,0.02,7.49,0.11,12.29,22.35,0.69,0,,,,,0.434
45.42,3.11,7.77,0.01,8.49,0.16,11.02,22.68,0.81,0.01,,,,,0.48
46.48,2.83,6.98,0.03,6.96,0.1,12.42,22.86,0.57,0,,,,,0.459
47.99,2.42,5.97,0.12,6.32,0.1,13.21,22.81,0.56,0,,,,,0.494
48.14,2.44,5.58,0.07,6.72,0.09,13.41,22.38,0.57,0.01,,,,,0.369
46.55,3.22,6.37,0.02,6.3,0.1,12.79,23.24,0.45,0,,,,,0.381
55.28,0.12,3.41,3.14,2.21,0.04,14.94,17.44,3.24,,,0.05,,,0.228
54.83,0.09,4.35,3.34,2.11,0.05,14.06,17.24,4.01,,,0.0001,,,0.35
54.92,0.03,1.24,1.38,1.84,0.0001,17.37,22.08,1.1,,,0.0001,,,0.262
56.12,0.19,2.31,0.76,3.87,0.1,20.5,14.98,1.48,,,0.06,,,0.098
55.02,0.07,1.71,1.98,1.95,0.02,16.94,20.56,1.65,,,0.09,,,0.164
55.13,0.08,2.33,2.3,1.89,0.05,16.52,19.52,2.13,,,0.06,,,0.191
54.98,0.11,2.21,1.38,2.16,0.08,17.01,19.84,1.81,,,0.06,,,0.165
55.4,0.1,3.15,2.16,2.41,0.07,15.8,17.94,2.66,,,0.09,,,0.307
55.54,0.0001,1.84,1.37,1.88,0.07,17.34,20.5,1.5,,,0.05,,,0.204
56.56,0.2,3.06,2.33,2.35,0.08,16.02,18.97,2.87,,,0.0001,,,0.291
